4,20.0,32.05,80.28,50.65,80.59,28.46,42.35
4,48.21,54.95,69.42,65.23,82.33,76.52,11.16
0,41.28,27.48,17.46,61.46,50.61,58.15,88.38
2,31.52,69.0,20.13,24.84,57.27,40.01,47.95
5,39.26,87.33,34.5,2.44,33.16,0.61,48.52
3,74.49,59.92,93.47,26.88,12.98,59.37,81.41
3,14.66,63.7,36.55,92.94,29.69,36.43,71.77
0,25.34,42.81,35.94,16.18,66.15,79.99,67.84
3,58.25,77.96,73.95,50.05,59.4,88.85,18.23
1,13.78,5.93,75.58,97.61,27.94,72.78,68.58
3,13.52,29.45,29.93,74.51,62.34,76.88,80.83
1,10.44,45.82,19.43,78.5,57.53,31.3,14.21
0,38.17,89.09,55.79,24.37,87.44,71.16,71.01
1,60.02,59.98,34.39,25.29,31.86,34.41,41.93
3,47.18,50.72,8.27,99.34,92.95,17.49,23.12
4,98.03,12.19,8.38,65.44,96.19,25.51,26.16
3,93.5,99.24,13.24,86.13,43.64,76.64,73.41
3,92.4,9.63,56.87,87.04,36.56,14.54,49.14
1,7.84,37.75,50.0,97.64,76.7,73.25,19.67
3,95.82,40.73,67.78,91.51,24.24,56.93,47.89
4,19.74,16.84,1.54,10.44,70.21,61.34,28.61
2,32.84,14.99,75.18,43.87,92.98,61.09,88.11
4,28.99,82.14,17.55,56.46,29.42,41.66,68.22
5,87.29,8.94,70.82,36.78,75.67,37.82,32.32
5,11.74,54.37,2.97,45.24,38.11,42.46,73.23
2,55.57,30.36,88.86,21.97,49.7,88.14,24.86
4,67.3,20.34,36.63,76.64,80.17,10.23,2.58
1,22.14,26.76,7.99,0.59,56.61,46.54,59.35
5,2.73,9.7,48.66,85.29,78.68,46.0,86.8
0,78.63,49.8,91.6,30.83,7.87,4.46,37.71
0,29.42,98.36,15.71,36.98,94.76,13.55,20.61
2,69.07,6.19,60.27,65.8,26.22,89.11,30.16
4,95.83,28.05,46.77,31.5,29.61,25.64,4.24
1,24.51,44.39,63.79,7.42,73.62,18.08,80.81
3,21.62,27.39,94.53,82.33,96.27,66.45,42.03
5,34.62,96.16,76.69,39.58,39.39,79.84,74.38
0,43.17,23.14,76.68,65.45,0.73,99.12,16.66
1,68.18,52.29,59.11,90.78,73.7,96.97,85.92
2,16.84,98.54,0.86,57.16,81.75,62.72,28.7
2,68.46,45.93,86.14,92.57,30.28,29.66,47.35
1,12.08,50.69,32.03,47.38,10.14,40.06,36.89
5,31.1,25.58,9.8,47.99,68.92,35.77,67.75
5,59.02,10.32,16.63,76.12,39.23,74.55,36.56
2,73.56,25.2,77.62,95.79,95.94,37.28,67.78
3,79.45,33.63,66.79,8.3,57.93,89.61,55.16
0,57.57,55.22,52.47,92.23,50.59,70.19,36.15
3,78.69,90.69,93.41,24.12,28.83,69.07,58.99
2,84.67,12.22,84.82,76.23,64.75,40.48,36.01
5,4.61,44.01,70.4,22.07,15.51,97.68,9.24
4,9.54,20.61,10.12,3.79,20.34,9.93,54.67
1,17.36,33.89,24.71,7.95,80.72,46.45,76.19
1,66.69,54.78,69.64,53.13,11.93,37.05,71.25
4,79.63,90.0,9.62,1.63,27.56,94.87,44.44
2,75.79,21.85,57.94,13.29,59.4,63.32,17.12
1,76.29,53.1,19.76,26.17,6.33,18.5,46.58
5,40.84,18.04,32.29,99.73,74.23,87.32,5.31
4,16.7,46.34,7.29,25.55,81.24,79.49,66.74
1,72.28,75.76,21.85,54.63,9.91,61.35,79.51
0,0.71,43.35,43.08,87.24,28.62,75.75,88.49
